ID,Created (ext),Ship By,Shop name,Name,Grand total,Status,Priority,Dropshipping,Tracking Number(s),Country code,Buyer email,Phone,Print state,Currency code,Products,Sheet(s),Material,Size,Parameters,ID (Internal),External ID,SKU,SKU and Subtotal,Full Address
1781294206,2026-06-12 19:56:46,2026-06-12 19:56:46,INTERNAL: Maple Lane Decor,Lily Bennett,22.0,New,High,NO,,FR,lily.bennett70@hotmail.com,+33.91553210,Queued,USD,Meadow Bloom 4500mm wide x 2420mm tall 1 sheet(s),1,,,,41110,1781294206,,: 22,"15 Rue de Rivoli, Paris 75001"
1779260064-3,2026-06-12 20:04:37,,INTERNAL: Maple Lane Decor,Scarlett Foster,10.0,New,Medium,NO,,US,scarlett.foster42@yahoo.com,212.555.0134,,USD,Coastal Stripe - 1000 copies 1000 sheet(s),1000,Textile,17x12,,41112,1779260064-3,WP-0001,WP-0001: 0,"233 S Wacker Dr, Chicago, IL 60606"
#1451021,2026-06-14 15:16:15,2026-06-17 15:16:15,SHOPIFY: Harbour & Co,Julian Gomez,60.0,New,,NO,,US,julian.gomez17@gmail.com,(415) 555-0198,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41165,4645434064945,2001989,2001989: 60,"1 Infinite Loop, Cupertino, CA 95014"
#1450932,2026-06-14 15:09:54,2026-06-17 15:09:54,SHOPIFY: Harbour & Co,Lily Dean,135.0,New,,NO,,US,lily.dean72@proton.me,(617) 555-0142,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41164,4645428690993,2001989,2001989: 54,"1600 Pennsylvania Ave, Washington, DC 20500"
#1450766,2026-06-14 14:55:52,2026-06-17 14:55:52,SHOPIFY: Harbour & Co,Wyatt Murray,150.0,New,,NO,,US,wyatt.murray31@hotmail.com,(702) 555-0189,,USD,"Forest Canopy - 96"" 1 sheet(s)",1,Textile,30x96,,41163,4645418532913,2001990,2001990: 110,"1600 Pennsylvania Ave, Washington, DC 20500"
#1450653,2026-06-14 12:35:52,2026-06-17 12:35:52,SHOPIFY: Harbour & Co,Lily Cole,60.0,New,,NO,,US,lily.cole67@proton.me,(817) 555-0153,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41161,4645374099505,2001989,2001989: 60,"1 Microsoft Way, Redmond, WA 98052"
4087822512,2026-06-14 11:35:46,2026-06-25 03:59:00,ETSY: Willow Print Studio,Chloe Murray,166.0,New,,NO,,DE,chloe.murray69@yahoo.com,012345678,,USD,Aspen Grove - Peel and Stick or Traditional 2 sheet(s),2,,30x96,"Material: Peel & Stick
Dimensions: 30W x 96H inches
Personalization: 01577 4493266",41160,4087822512,0040,0040: 166,"Unter den Linden 12, Berlin 10117"
#1450587,2026-06-14 08:47:35,2026-06-17 08:47:35,SHOPIFY: Harbour & Co,Sophia Murphy,148.0,New,,NO,,US,sophia.murphy67@outlook.com,+1 (310) 555-0187,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41159,4645335990321,2001989,2001989: 60,"1 Infinite Loop, Cupertino, CA 95014"
4090587129,2026-06-14 08:32:25,2026-06-19 22:59:00,ETSY: Nordlys Interiors,Benjamin Gomez,27.58,New,,NO,,US,,4155550198,,GBP,Cobalt Floral 1 sheet(s),1,Nonpasted,30x20,"General material: Traditional
Panel length: SAMPLE (30""W x 20""L)
Personalization: 917-509-2732",41152,4090587129,WP-0002,WP-0002: 19.17,"800 N Michigan Ave, Chicago, IL 60611"
#1450258,2026-06-14 02:32:12,2026-06-17 02:32:12,SHOPIFY: Harbour & Co,Chloe Brooks,60.0,New,,NO,,US,chloe.brooks21@yahoo.com,817.555.0153,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41158,4645238702129,2001989,2001989: 54,"742 Evergreen Terrace, Springfield, IL 62701"
4087592342,2026-06-14 02:21:21,2026-06-15 20:59:00,ETSY: Vellum Walls,Abigail Gray,439.24,New,,NO,,US,,+1 (702) 555-0189,,USD,Linen Weave - Peel and Stick Wallpaper or Non Pasted Wallpaper / Line art Removable wallpaper / Green self-adhesive wallpaper 6 sheet(s),6,PVC,30x108,"Material &amp; Size: P&S Vinyl 30Wx108""H
Color: Olive Green (def.)
Personalization: 9498137859",41157,4087592342,02170,02170: 412.43,"1 Infinite Loop, Cupertino, CA 95014"
40869,2026-06-14 01:59:16,2026-06-17 01:59:16,SHOPIFY: Indigo & Oak,Joseph Carter,1299.5,New,,NO,,US,joseph.carter85@outlook.com,702.555.0189,,USD,Harbor Mist - Traditional / 10' Length 10 sheet(s),10,Nonpasted,30x120,,41156,6761357213910,WP-0003,WP-0003: 1299.5,"1 Microsoft Way, Redmond, WA 98052"
4087563008,2026-06-14 01:40:07,2026-06-15 20:59:00,ETSY: Vellum Walls,Hazel Russell,12.74,New,,NO,,US,,(415) 555-0198,,USD,Sienna Trail - Peel and Stick Wallpaper or Non Pasted Wallpaper / Solid color Removable wallpaper / Green wallpaper 1 sheet(s),1,PVC,30x20,"General material: Peel & Stick Vinyl
Size: XL Sample 30"" x 20""
Personalization: 423-383-1183",41154,4087563008,02698,02698: 12.02,"3420 Walnut St, Philadelphia, PA 19104"
